"match_id","date","team1","team2","venue","toss_winner","toss_decision","powerplay_runs","death_overs_runs","toss_win_helped","outcome_label","head_to_head_win_pct"
"533280","2012-09-23","New Zealand","Pakistan","Pallekele International Cricket Stadium","Pakistan","bat","60","42",0,1,"62.50"
"1142914","2018-07-02","Pakistan","Australia","Harare Sports Club","Australia","field","25","26",1,0,"40.00"
"287874","2007-09-20","Australia","Sri Lanka","Newlands","Australia","field","21","19",0,0,NULL
"685729","2013-11-22","South Africa","Pakistan","Newlands","Pakistan","bat","40","31",0,1,"66.67"
"1157713","2018-09-25","India","Sri Lanka","Chilaw Marians Cricket Club Ground","Sri Lanka","field","40","13",0,1,"61.90"
"584772","2012-10-03","Sri Lanka","India","Nondescripts Cricket Club Ground","Sri Lanka","bat","28","21",0,0,"60.00"
"287861","2007-09-14","Australia","England","Newlands","England","bat","38","16",1,0,"50.00"
"520598","2012-02-19","New Zealand","South Africa","Seddon Park","South Africa","field","47","43",1,0,"83.33"
"875457","2015-07-09","Scotland","United Arab Emirates","Grange Cricket Club Ground, Raeburn Place","Scotland","field","39","9",0,0,NULL
"954737","2016-02-09","Ireland","Papua New Guinea","Tony Ireland Stadium","Papua New Guinea","bat","28","31",0,1,"50.00"
"1190774","2019-07-27","Kuwait","Nepal","Indian Association Ground","Nepal","field","49","39",1,0,"100.00"
"1140070","2018-04-02","Pakistan","West Indies","National Stadium","Pakistan","bat","56","49",1,1,"64.29"
"355989","2009-06-19","England","Australia","Kennington Oval","England","field","58","31",0,0,"66.67"
"1197247","2019-09-19","China","Hong Kong","Yeonhui Cricket Ground","Hong Kong","bat","19","19",0,1,"0.00"
"951407","2016-03-26","New Zealand","South Africa","M Chinnaswamy Stadium","New Zealand","field","28","25",0,0,"68.75"
"668969","2013-11-21","Sri Lanka","New Zealand","Pallekele International Cricket Stadium","Sri Lanka","field","43","41",0,0,"58.33"
"1020029","2017-02-17","New Zealand","South Africa","Eden Park","New Zealand","field","56","39",1,1,"64.71"
"1198475","2019-09-14","West Indies","Australia","Kensington Oval, Barbados","West Indies","bat","39","27",0,0,"41.18"
"923321","2015-09-30","Pakistan","Bangladesh","Southend Club Cricket Stadium","Pakistan","bat","35","25",1,1,"55.56"
"361656","2008-10-11","Pakistan","Sri Lanka","Maple Leaf North-West Ground","Pakistan","field","49","18",0,0,"100.00"
"690353","2014-02-14","Bangladesh","Sri Lanka","Zahur Ahmed Chowdhury Stadium","Bangladesh","bat","42","29",0,0,"75.00"
"1215138","2020-02-23","Malaysia","Hong Kong","Kinrara Academy Oval","Malaysia","bat","37","27",1,1,"100.00"
"1215163","2020-02-26","Kuwait","Bahrain","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Bahrain","field","65","61",0,1,NULL
"682959","2014-04-01","Pakistan","West Indies","Shere Bangla National Stadium","West Indies","bat","39","71",0,1,"33.33"
"698995","2014-01-24","Pakistan","South Africa","West End Park International Cricket Stadium","Pakistan","field","14","17",0,0,"27.27"
"1123206","2018-02-13","South Africa","India","Senwes Park","India","field","45","47",1,0,"60.00"
"1074965","2017-01-18","United Arab Emirates","Ireland","Dubai International Cricket Stadium","Ireland","bat","36","32",0,1,"66.67"
"287872","2007-09-19","South Africa","New Zealand","Kingsmead","South Africa","field","57","22",0,0,"0.00"
"1208612","2019-12-07","Bhutan","Maldives","Tribhuvan University International Cricket Ground","Maldives","field","43","28",1,0,NULL
"1233959","2020-12-18","Pakistan","New Zealand","Eden Park","Pakistan","bat","25","53",0,0,"37.04"
