match_id,match_type,date,team1,team2,venue,toss_winner,toss_decision
1272093,,2021-09-01,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat
1272094,,2021-09-03,Bangladesh,New Zealand,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat
1272095,,2021-09-05,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat
1272096,,2021-09-08,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat
1272097,,2021-09-10,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat
1272373,,2021-08-27,Zimbabwe,Ireland,"Castle Avenue, Dublin",Ireland,field
1272374,,2021-08-29,Zimbabwe,Ireland,"Castle Avenue, Dublin",Zimbabwe,bat
1272375,,2021-09-01,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,field
1272376,,2021-09-02,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,field
1272377,,2021-09-04,Zimbabwe,Ireland,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,bat
1272900,,2021-08-27,Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Zimbabwe,field
1272901,,2021-08-28,Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Thailand,bat
1272902,,2021-08-30,Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Thailand,bat
1273133,,2021-08-14,Denmark,Sweden,"Svanholm Park, Brondby",Sweden,field
1273134,,2021-08-15,Sweden,Denmark,"Svanholm Park, Brondby",Denmark,field
1273136,,2021-08-20,Gibraltar,Malta,Gucherre Cricket Ground,Malta,field
1273138,,2021-08-21,Malta,Gibraltar,Gucherre Cricket Ground,Gibraltar,field
1273139,,2021-08-22,Portugal,Gibraltar,Gucherre Cricket Ground,Gibraltar,field
1273141,,2021-08-18,Ghana,Rwanda,Gahanga International Cricket Stadium. Rwanda,Ghana,bat
1273143,,2021-08-20,Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Ghana,field
1273144,,2021-08-20,Ghana,Rwanda,Gahanga International Cricket Stadium. Rwanda,Ghana,bat
1273145,,2021-08-21,Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Rwanda,bat
1273146,,2021-08-21,Sweden,Finland,Kerava National Cricket Ground,Sweden,bat
1273147,,2021-08-21,Sweden,Finland,Kerava National Cricket Ground,Sweden,bat
1273148,,2021-08-22,Finland,Sweden,Kerava National Cricket Ground,Sweden,field
1273149,,2021-08-22,Finland,Sweden,Kerava National Cricket Ground,Sweden,field
1273271,,2021-09-15,Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat
1273272,,2021-09-17,Zimbabwe,Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Zimbabwe,bat
1273273,,2021-09-19,Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat
1273415,,2021-08-31,South Africa,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",South Africa,bat
1273416,,2021-09-02,South Africa,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,field
1273417,,2021-09-04,South Africa,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",South Africa,bat
1273712,,2021-10-17,Papua New Guinea,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field
1273713,,2021-10-17,Scotland,Bangladesh,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,field
1273714,,2021-10-18,Netherlands,Ireland,"Zayed Cricket Stadium, Abu Dhabi",Netherlands,bat
1273715,,2021-10-18,Namibia,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,field
1273716,,2021-10-19,Scotland,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,bat
1273717,,2021-10-19,Bangladesh,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,bat
1273718,,2021-10-20,Netherlands,Namibia,"Zayed Cricket Stadium, Abu Dhabi",Namibia,field
1273719,,2021-10-20,Sri Lanka,Ireland,"Zayed Cricket Stadium, Abu Dhabi",Ireland,field
1273720,,2021-10-21,Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,bat
1273721,,2021-10-21,Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat
1273722,,2021-10-22,Ireland,Namibia,Sharjah Cricket Stadium,Ireland,bat
1273723,,2021-10-22,Netherlands,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka,field
1273724,,2021-10-23,South Africa,Australia,"Zayed Cricket Stadium, Abu Dhabi",Australia,field
1273725,,2021-10-23,West Indies,England,Dubai International Cricket Stadium,England,field
1273726,,2021-10-24,Bangladesh,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka,field
1273727,,2021-10-24,India,Pakistan,Dubai International Cricket Stadium,Pakistan,field
1273729,,2021-10-26,West Indies,South Africa,Dubai International Cricket Stadium,South Africa,field
1273730,,2021-10-26,New Zealand,Pakistan,Sharjah Cricket Stadium,Pakistan,field
1273731,,2021-10-27,Bangladesh,England,"Zayed Cricket Stadium, Abu Dhabi",Bangladesh,bat
1273732,,2021-10-27,Scotland,Namibia,"Zayed Cricket Stadium, Abu Dhabi",Namibia,field
1273733,,2021-10-28,Sri Lanka,Australia,Dubai International Cricket Stadium,Australia,field
1273734,,2021-10-29,West Indies,Bangladesh,Sharjah Cricket Stadium,Bangladesh,field
1273736,,2021-10-30,Sri Lanka,South Africa,Sharjah Cricket Stadium,South Africa,field
1273737,,2021-10-30,Australia,England,Dubai International Cricket Stadium,England,field
1273739,,2021-10-31,India,New Zealand,Dubai International Cricket Stadium,New Zealand,field
1273740,,2021-11-01,England,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka,field
1273741,,2021-11-02,Bangladesh,South Africa,"Zayed Cricket Stadium, Abu Dhabi",South Africa,field
1273742,,2021-11-02,Pakistan,Namibia,"Zayed Cricket Stadium, Abu Dhabi",Pakistan,bat
1273743,,2021-11-03,New Zealand,Scotland,Dubai International Cricket Stadium,Scotland,field
1273745,,2021-11-04,Bangladesh,Australia,Dubai International Cricket Stadium,Australia,field
1273746,,2021-11-04,Sri Lanka,West Indies,"Zayed Cricket Stadium, Abu Dhabi",West Indies,field
1273747,,2021-11-05,New Zealand,Namibia,Sharjah Cricket Stadium,Namibia,field
1273748,,2021-11-05,Scotland,India,Dubai International Cricket Stadium,India,field
1273749,,2021-11-06,West Indies,Australia,"Zayed Cricket Stadium, Abu Dhabi",Australia,field
1273750,,2021-11-06,South Africa,England,Sharjah Cricket Stadium,England,field
1273752,,2021-11-07,Pakistan,Scotland,Sharjah Cricket Stadium,Pakistan,bat
1273753,,2021-11-08,Namibia,India,Dubai International Cricket Stadium,India,field
1273754,,2021-11-10,England,New Zealand,"Zayed Cricket Stadium, Abu Dhabi",New Zealand,field
1273755,,2021-11-11,Pakistan,Australia,Dubai International Cricket Stadium,Australia,field
1273756,,2021-11-14,New Zealand,Australia,Dubai International Cricket Stadium,Australia,field
1274595,,2021-08-26,Netherlands,Scotland,La Manga Club Top Ground,Scotland,field
1274596,,2021-08-26,Ireland,Germany,La Manga Club Bottom Ground,Germany,field
1274597,,2021-08-26,France,Netherlands,La Manga Club Top Ground,France,bat
1274600,,2021-08-27,France,Germany,La Manga Club Bottom Ground,France,bat
1274601,,2021-08-27,Ireland,Scotland,La Manga Club Top Ground,Ireland,bat
1274602,,2021-08-27,Germany,Netherlands,La Manga Club Bottom Ground,Netherlands,field
1274604,,2021-08-29,France,Ireland,La Manga Club Bottom Ground,Ireland,field
1274606,,2021-08-30,France,Scotland,La Manga Club Bottom Ground,Scotland,field
1274608,,2021-08-29,Germany,Scotland,La Manga Club Top Ground,Scotland,field
1274609,,2021-08-30,Ireland,Netherlands,La Manga Club Top Ground,Netherlands,field
1275039,,2021-09-11,Nigeria,Kenya,Entebbe Cricket Oval,Nigeria,bat
1275040,,2021-09-11,Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat
1275042,,2021-09-13,Kenya,Nigeria,Entebbe Cricket Oval,Kenya,bat
1275043,,2021-09-13,Nigeria,Uganda,Entebbe Cricket Oval,Nigeria,bat
1275044,,2021-09-10,Kenya,Uganda,Entebbe Cricket Oval,Kenya,bat
1275045,,2021-09-16,Nigeria,Kenya,Entebbe Cricket Oval,Nigeria,bat
1275047,,2021-09-15,Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat
1275051,,2021-09-17,Uganda,Kenya,Entebbe Cricket Oval,Uganda,bat
1275052,,2021-09-10,Spain,Germany,"Desert Springs Cricket Ground, Almeria",Germany,field
1275053,,2021-09-11,Germany,Spain,"Desert Springs Cricket Ground, Almeria",Germany,bat
1275054,,2021-09-11,Germany,Spain,"Desert Springs Cricket Ground, Almeria",Spain,field
1275074,,2021-08-29,Norway,Sweden,Guttsta Wicked Cricket Club,Sweden,field
1275104,,2021-09-09,Mozambique,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Rwanda,field
1275106,,2021-09-09,Botswana,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Botswana,bat
1275107,,2021-09-09,Sierra Leone,Nigeria,"Botswana Cricket Association Oval 2, Gaborone",Sierra Leone,bat
1275108,,2021-09-10,Tanzania,Zimbabwe,"Botswana Cricket Association Oval 1, Gaborone",Tanzania,bat
1275110,,2021-09-10,Botswana,Mozambique,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,field
1275111,,2021-09-10,Namibia,Nigeria,"Botswana Cricket Association Oval 2, Gaborone",Namibia,bat
1275112,,2021-09-11,Eswatini,Zimbabwe,"Botswana Cricket Association Oval 1, Gaborone",Eswatini,bat
1275113,,2021-09-15,Cameroon,Sierra Leone,"Botswana Cricket Association Oval 2, Gaborone",Cameroon,bat
1275114,,2021-09-11,Tanzania,Mozambique,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,field
1275115,,2021-09-11,Uganda,Nigeria,"Botswana Cricket Association Oval 2, Gaborone",Uganda,bat
1275116,,2021-09-12,Rwanda,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Rwanda,bat
1275118,,2021-09-13,Tanzania,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Tanzania,bat
1275122,,2021-09-14,Tanzania,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Tanzania,bat
1275125,,2021-09-14,Sierra Leone,Uganda,"Botswana Cricket Association Oval 2, Gaborone",Sierra Leone,bat
1275126,,2021-09-16,Mozambique,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,bat
1275127,,2021-09-16,Zimbabwe,Rwanda,"Botswana Cricket Association Oval 2, Gaborone",Rwanda,field
1275128,,2021-09-16,Botswana,Tanzania,"Botswana Cricket Association Oval 1, Gaborone",Botswana,bat
1275129,,2021-09-17,Zimbabwe,Uganda,"Botswana Cricket Association Oval 1, Gaborone",Zimbabwe,bat
1275131,,2021-09-19,Uganda,Tanzania,"Botswana Cricket Association Oval 1, Gaborone",Uganda,bat
1275132,,2021-09-19,Zimbabwe,Namibia,"Botswana Cricket Association Oval 1, Gaborone",Zimbabwe,bat
1275268,,2021-09-03,Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat
1275269,,2021-09-02,Luxembourg,Bulgaria,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,field
1275270,,2021-09-02,Hungary,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Czech Republic,field
1275271,,2021-09-03,Bulgaria,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,bat
1275272,,2021-09-03,Romania,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat
1275274,,2021-09-04,Luxembourg,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,field
1275275,,2021-09-04,Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field
1275276,,2021-09-05,Malta,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,field
1275277,,2021-09-05,Romania,Luxembourg,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat
1276904,,2022-07-07,India,England,"The Rose Bowl, Southampton",India,bat
1276905,,2022-07-09,India,England,"Edgbaston, Birmingham",England,field
1276906,,2022-07-10,England,India,"Trent Bridge, Nottingham",England,bat
1276913,,2022-07-27,England,South Africa,"County Ground, Bristol",South Africa,field
1276914,,2022-07-28,South Africa,England,"Sophia Gardens, Cardiff",England,field
1276915,,2022-07-31,South Africa,England,"The Rose Bowl, Southampton",England,field
1277974,,2021-11-19,Bangladesh,Pakistan,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat
1277975,,2021-11-20,Bangladesh,Pakistan,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat
1277976,,2021-11-22,Bangladesh,Pakistan,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat
1278671,,2021-11-17,New Zealand,India,"Sawai Mansingh Stadium, Jaipur",India,field
1278672,,2021-11-19,New Zealand,India,"JSCA International Stadium Complex, Ranchi",India,field
1278673,,2021-11-21,India,New Zealand,"Eden Gardens, Kolkata",India,bat
1278679,,2022-02-16,West Indies,India,"Eden Gardens, Kolkata",India,field
1278680,,2022-02-18,India,West Indies,"Eden Gardens, Kolkata",West Indies,field
1278681,,2022-02-20,India,West Indies,"Eden Gardens, Kolkata",West Indies,field
1278684,,2022-02-24,India,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sri Lanka,field
1278685,,2022-02-26,Sri Lanka,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",India,field
1278686,,2022-02-27,Sri Lanka,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Sri Lanka,bat
1278687,,2022-06-09,India,South Africa,"Arun Jaitley Stadium, Delhi",South Africa,field
1278688,,2022-06-12,India,South Africa,"Barabati Stadium, Cuttack",South Africa,field
1278689,,2022-06-14,India,South Africa,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",South Africa,field
1278690,,2022-06-17,India,South Africa,"Saurashtra Cricket Association Stadium, Rajkot",South Africa,field
1278691,,2022-06-19,India,South Africa,"M Chinnaswamy Stadium, Bangalore",South Africa,field
1279379,,2021-10-05,Estonia,Cyprus,Happy Valley Ground,Cyprus,field
1279380,,2021-10-05,Estonia,Cyprus,Happy Valley Ground,Estonia,bat
1279381,,2021-10-06,Cyprus,Isle of Man,Happy Valley Ground,Cyprus,bat
